FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36105,Sullivan,NY,4,  Government and government enterprises,535000,563301,572092,566356
36107,Tioga,NY,1,All Industries,1277955,1396586,1434182,1584559
36107,Tioga,NY,2,  Private goods-producing industries,600200,680768,684446,767153
36107,Tioga,NY,3,  Private services-providing industries,488078,513781,542892,612478
36107,Tioga,NY,4,  Government and government enterprises,189676,202036,206844,204928
36109,Tompkins,NY,1,All Industries,5173541,5410441,5626199,5836211
36109,Tompkins,NY,2,  Private goods-producing industries,578220,594757,564088,567648
36109,Tompkins,NY,3,  Private services-providing industries,4088431,4273424,4526364,4744156
36109,Tompkins,NY,4,  Government and government enterprises,506890,542260,535747,524407
36111,Ulster,NY,1,All Industries,6036326,6766561,6982960,6487604
36111,Ulster,NY,2,  Private goods-producing industries,657709,679855,689833,712296
36111,Ulster,NY,3,  Private services-providing industries,4069725,4722281,4939396,4437676
36111,Ulster,NY,4,  Government and government enterprises,1308892,1364424,1353732,1337632
36113,Warren,NY,1,All Industries,3115315,3329680,3438055,3635765
36113,Warren,NY,2,  Private goods-producing industries,581962,592687,579282,584123
36113,Warren,NY,3,  Private services-providing industries,2180686,2360535,2467764,2660592
36113,Warren,NY,4,  Government and government enterprises,352667,376457,391008,391050
36115,Washington,NY,1,All Industries,1442354,1496984,1492088,1503789
36115,Washington,NY,2,  Private goods-producing industries,443493,495496,486087,466051
36115,Washington,NY,3,  Private services-providing industries,578314,571601,574280,613924
36115,Washington,NY,4,  Government and government enterprises,420547,429887,431721,423814
36117,Wayne,NY,1,All Industries,3058482,3276876,3188671,3235146
36117,Wayne,NY,2,  Private goods-producing industries,922389,987792,992234,1003883
36117,Wayne,NY,3,  Private services-providing industries,1505960,1601364,1618629,1655975
36117,Wayne,NY,4,  Government and government enterprises,630133,687720,577809,575288
36119,Westchester,NY,1,All Industries,67308615,69153225,71996342,75894165
36119,Westchester,NY,2,  Private goods-producing industries,5978492,6267215,6465887,6920548
36119,Westchester,NY,3,  Private services-providing industries,53811897,54943753,57369938,60878352
36119,Westchester,NY,4,  Government and government enterprises,7518226,7942257,8160518,8095265
36121,Wyoming,NY,1,All Industries,1364490,1431346,1520711,1523129
36121,Wyoming,NY,2,  Private goods-producing industries,372537,403662,409159,386021
36121,Wyoming,NY,3,  Private services-providing industries,612744,638257,713811,746609
36121,Wyoming,NY,4,  Government and government enterprises,379209,389427,397741,390499
36123,Yates,NY,1,All Industries,568869,610202,622285,624722
36123,Yates,NY,2,  Private goods-producing industries,172057,191500,,191968
36123,Yates,NY,3,  Private services-providing industries,310228,329175,,335113
36123,Yates,NY,4,  Government and government enterprises,86584,89528,98840,97641
