FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36081,Queens,NY,1,All Industries,70002804,70577822,72874095,73842942
36081,Queens,NY,2,  Private goods-producing industries,7424852,7636863,7762039,8136147
36081,Queens,NY,3,  Private services-providing industries,52243930,52362757,54498200,55230540
36081,Queens,NY,4,  Government and government enterprises,10334022,10576893,10618480,10473484
36083,Rensselaer,NY,1,All Industries,5069113,5039824,5219715,5359705
36083,Rensselaer,NY,2,  Private goods-producing industries,705255,733093,731386,784058
36083,Rensselaer,NY,3,  Private services-providing industries,3470397,3391526,3484201,3612683
36083,Rensselaer,NY,4,  Government and government enterprises,893461,914951,1002898,963112
36085,Richmond,NY,1,All Industries,10682962,11275506,11880328,11248532
36085,Richmond,NY,2,  Private goods-producing industries,772868,911850,909859,996606
36085,Richmond,NY,3,  Private services-providing industries,8017938,8432539,9085653,8407585
36085,Richmond,NY,4,  Government and government enterprises,1892157,1931075,1888619,1839299
36087,Rockland,NY,1,All Industries,18159993,17328543,18147307,19225562
36087,Rockland,NY,2,  Private goods-producing industries,6081035,4786660,5684160,6561368
36087,Rockland,NY,3,  Private services-providing industries,9969515,10303645,10462120,10742307
36087,Rockland,NY,4,  Government and government enterprises,2109443,2237545,2002500,1915605
36089,St. Lawrence,NY,1,All Industries,2839578,2894393,2894778,2863416
36089,St. Lawrence,NY,2,  Private goods-producing industries,520576,552772,543500,483552
36089,St. Lawrence,NY,3,  Private services-providing industries,1473712,1478925,1482335,1520743
36089,St. Lawrence,NY,4,  Government and government enterprises,845290,863077,868920,855739
36091,Saratoga,NY,1,All Industries,8427267,8721455,8896685,9081576
36091,Saratoga,NY,2,  Private goods-producing industries,1357283,1479989,1486607,1635075
36091,Saratoga,NY,3,  Private services-providing industries,5857107,6005730,6198585,6287047
36091,Saratoga,NY,4,  Government and government enterprises,1212877,1235919,1212274,1162221
36093,Schenectady,NY,1,All Industries,7044969,7074743,7145803,7286714
36093,Schenectady,NY,2,  Private goods-producing industries,1574918,1482731,1427451,1438703
36093,Schenectady,NY,3,  Private services-providing industries,4532067,4607329,4854972,5009466
36093,Schenectady,NY,4,  Government and government enterprises,937985,985072,869642,847439
36095,Schoharie,NY,1,All Industries,667832,668136,665785,648763
36095,Schoharie,NY,2,  Private goods-producing industries,94844,97158,,92628
36095,Schoharie,NY,3,  Private services-providing industries,393651,388015,,376218
36095,Schoharie,NY,4,  Government and government enterprises,179337,182908,184403,179861
36097,Schuyler,NY,1,All Industries,410499,408996,398597,379686
36097,Schuyler,NY,2,  Private goods-producing industries,141485,139079,137935,132523
36097,Schuyler,NY,3,  Private services-providing industries,181366,183389,179462,173119
36097,Schuyler,NY,4,  Government and government enterprises,87648,86535,81268,74209
36099,Seneca,NY,1,All Industries,1095288,1101251,1112183,1077939
36099,Seneca,NY,2,  Private goods-producing industries,343915,,391966,373217
36099,Seneca,NY,3,  Private services-providing industries,480455,,464878,458600
36099,Seneca,NY,4,  Government and government enterprises,270918,250665,255307,246083
36101,Steuben,NY,1,All Industries,3576382,4027839,4373262,4435987
36101,Steuben,NY,2,  Private goods-producing industries,614611,1003386,1309077,1375506
36101,Steuben,NY,3,  Private services-providing industries,2326758,2384405,2425625,2452456
36101,Steuben,NY,4,  Government and government enterprises,635013,639367,635575,604294
36103,Suffolk,NY,1,All Industries,76859133,77634248,78240760,78458835
36103,Suffolk,NY,2,  Private goods-producing industries,12028740,11845428,11860785,12148392
36103,Suffolk,NY,3,  Private services-providing industries,52994352,53784448,54700742,54872469
36103,Suffolk,NY,4,  Government and government enterprises,11836041,12003594,11685295,11447654
36105,Sullivan,NY,1,All Industries,2121811,2234840,2206921,2112361
36105,Sullivan,NY,2,  Private goods-producing industries,227249,223402,219592,231459
36105,Sullivan,NY,3,  Private services-providing industries,1359562,1470556,1454810,1370371
36105,Sullivan,NY,4,  Government and government enterprises,535000,541062,532735,510296
36107,Tioga,NY,1,All Industries,1277955,1381202,1408089,1560728
36107,Tioga,NY,2,  Private goods-producing industries,600200,682897,692105,801236
36107,Tioga,NY,3,  Private services-providing industries,488078,504209,523220,578206
36107,Tioga,NY,4,  Government and government enterprises,189676,194559,193224,185402
36109,Tompkins,NY,1,All Industries,5173541,5268247,5339934,5397961
36109,Tompkins,NY,2,  Private goods-producing industries,578220,586773,545252,533896
36109,Tompkins,NY,3,  Private services-providing industries,4088431,4159765,4294457,4390382
36109,Tompkins,NY,4,  Government and government enterprises,506890,521662,499837,473651
36111,Ulster,NY,1,All Industries,6036326,6596250,6637968,5987660
36111,Ulster,NY,2,  Private goods-producing industries,657709,661487,649727,648257
36111,Ulster,NY,3,  Private services-providing industries,4069725,4625353,4730299,4133144
36111,Ulster,NY,4,  Government and government enterprises,1308892,1310761,1260873,1205621
36113,Warren,NY,1,All Industries,3115315,3254148,3286945,3391668
36113,Warren,NY,2,  Private goods-producing industries,581962,578588,551008,537243
36113,Warren,NY,3,  Private services-providing industries,2180686,2313759,2371816,2503356
36113,Warren,NY,4,  Government and government enterprises,352667,361923,364513,352843
36115,Washington,NY,1,All Industries,1442354,1454119,1419936,1402125
36115,Washington,NY,2,  Private goods-producing industries,443493,482820,471273,450689
36115,Washington,NY,3,  Private services-providing industries,578314,558435,546726,569636
