STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-06,0.18,0,,67,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-07,0.01,0,,56,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-08,0,0,,57,44
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-09,0,0,,63,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-10,0,0,,63,49
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-11,0,0,,62,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-12,0,0,,65,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-13,1.61,0,,53,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-14,0.02,0,,67,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-15,0,0,,68,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-16,0,0,,79,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-17,0,0,,90,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-18,0,0,,92,75
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-19,0,0,,91,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-20,0.01,0,,65,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-21,0,0,,69,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-22,0.59,0,,61,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-23,0,0,,69,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-24,0.04,0,,69,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-25,0.58,0,,59,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-26,0.1,0,,73,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-27,0,0,,71,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-28,0,0,,71,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-29,0.13,0,,61,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-30,0.06,0,,60,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-31,0.03,0,,75,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-01,0,0,,79,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-02,0.01,0,,76,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-03,0.01,0,,73,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-04,0.09,0,,70,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-05,0.02,0,,67,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-06,0.06,0,,58,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-07,0,0,,67,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-08,0,0,,69,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-09,0,0,,80,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-10,0,0,,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-11,0,0,,90,72
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-12,0,0,,93,76
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-13,0,0,,94,77
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-14,0.29,0,,84,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-15,0,0,,76,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-16,0,0,,68,63
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-17,1.39,0,,74,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-18,0,0,,85,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-19,1.35,0,,88,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-20,0.03,0,,83,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-21,0,0,,83,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-22,0,0,,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-23,0.04,0,,83,76
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-24,1.29,0,,84,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-25,0,0,,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-26,0,0,,79,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-27,0.18,0,,77,60
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-28,0,0,,78,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-29,0,0,,82,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-06-30,0,0,,88,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-01,0.23,0,,85,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-02,0,0,,87,72
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-03,0.45,0,,88,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-04,0,0,,85,70
