,County,FIPS,County Centroid,year,CDC Week,Week Ending Date,Count,Disease_INFLUENZA_A,Disease_INFLUENZA_B,Disease_INFLUENZA_UNSPECIFIED,UnempRate,GDP,GDP_change,Population,flu,fluSymptoms,fever,cough,soreThroat,Target,VaxRate,PRCP,SNOW,TAVG,TMAX,TMIN,SNOWDepth
180,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,4,01/30/2016,0,0,0,0,6.3,-,-,47039,0.0071721567000000005,0.0048374857,0.3281733651,0.6737376358,0.4000671002,2.0,0.575,0.0,0.0,27.857142857142858,36.857142857142854,18.857142857142858,0.0
181,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,5,02/06/2016,0,0,0,0,6.3,-,-,47039,0.0086331516,0.0054421714,0.39662389600000003,0.4631795589,0.49698681659999994,7.0,0.575,0.09571428571428571,0.0,33.357142857142854,43.57142857142857,23.142857142857142,0.0
182,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,6,02/13/2016,2,2,0,0,6.3,-,-,47039,0.0071721567000000005,0.0090702857,0.3677785218,0.4252140213,0.2183729952,5.0,0.606,0.016666666666666666,0.3333333333333333,17.142857142857142,25.285714285714285,9.0,0.5
183,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,7,02/20/2016,7,7,0,0,6.3,-,-,47039,0.0189265247,0.0092901714,0.5291752586999999,0.5905750296,0.5482401002,6.0,0.606,0.2757142857142857,0.7571428571428571,21.857142857142858,31.571428571428573,12.142857142857142,2.5714285714285716
184,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,8,02/27/2016,5,5,0,0,6.3,-,-,47039,0.015938126,0.0087954286,0.34969293,0.41906722,0.4853273018,15.0,0.606,0.09333333333333334,0.028571428571428574,29.0,37.285714285714285,20.714285714285715,0.0
185,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,9,03/05/2016,6,6,0,0,6.3,-,-,47039,0.015938126,0.0065416,0.5292897245,0.4338918585,0.295860187,16.0,0.606,0.02142857142857143,0.08333333333333333,28.642857142857142,39.42857142857143,17.857142857142858,0.16666666666666666
186,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,10,03/12/2016,15,15,0,0,6.3,-,-,47039,0.0227118296,0.012313600000000001,0.5089148173,0.47004951340000006,0.44597643950000004,8.0,0.617,0.09999999999999999,0.0,45.285714285714285,59.42857142857143,31.142857142857142,0.0
187,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,11,03/19/2016,16,16,0,0,6.3,-,-,47039,0.019125751200000003,0.0168212571,0.4203183106,0.41762091380000005,0.7695279741,11.0,0.617,0.045714285714285714,0.0,41.57142857142857,50.142857142857146,33.0,0.0
188,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,12,03/26/2016,8,7,1,0,6.3,-,-,47039,0.0129497274,0.0082457143,0.3122626229,0.3778474934,0.4638300715,3.0,0.617,0.06714285714285714,0.0,38.642857142857146,51.57142857142857,25.714285714285715,0.0
189,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,13,04/02/2016,11,11,0,0,6.3,-,-,47039,0.0103597819,0.0118738286,0.34065013409999995,0.4657105948,0.41415568049999996,8.0,0.617,0.13142857142857142,0.14285714285714285,41.5,54.142857142857146,28.857142857142858,0.14285714285714285
190,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,14,04/09/2016,3,2,1,0,6.3,-,-,47039,0.0058439795,0.0029684571000000003,0.298755662,0.2044112756,0.4292158871,2.0,0.619,0.15714285714285717,1.042857142857143,27.142857142857142,37.285714285714285,17.0,1.5
191,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,15,04/16/2016,8,2,6,0,6.3,-,-,47039,0.0046486201000000005,0.0019789714,0.37819490689999996,0.2746776515,0.4729390674,2.0,0.619,0.09999999999999999,0.0,39.0,52.714285714285715,25.285714285714285,0.0
